instance_id,question_family_id,domain,question_type,context_length_label,context_tokens_actual,rendered_input_tokens_actual,prompt_overhead_tokens,generation_tokens_reserved,model_context_limit,remaining_context_margin,near_model_maximum,prompt_version,prompt_hash
SEC_0001_4K,SEC_0001,SEC,DIRECT_RETRIEVAL,4K,4067,4313,246,128,131072,77487,False,llama_chat_v4,5d2869822989e19b
SEC_0001_8K,SEC_0001,SEC,DIRECT_RETRIEVAL,8K,8077,8323,246,128,131072,73477,False,llama_chat_v4,5d2869822989e19b
SEC_0001_16K,SEC_0001,SEC,DIRECT_RETRIEVAL,16K,16225,16471,246,128,131072,65329,False,llama_chat_v4,5d2869822989e19b
SEC_0001_32K,SEC_0001,SEC,DIRECT_RETRIEVAL,32K,32502,32748,246,128,131072,49052,False,llama_chat_v4,5d2869822989e19b
SEC_0001_64K,SEC_0001,SEC,DIRECT_RETRIEVAL,64K,65061,65307,246,128,131072,16493,False,llama_chat_v4,5d2869822989e19b
SEC_0001_82K,SEC_0001,SEC,DIRECT_RETRIEVAL,82K,81423,81669,246,128,131072,131,True,llama_chat_v4,5d2869822989e19b
SEC_0002_4K,SEC_0002,SEC,DIRECT_RETRIEVAL,4K,4048,4292,244,128,131072,77508,False,llama_chat_v4,5d2869822989e19b
SEC_0002_8K,SEC_0002,SEC,DIRECT_RETRIEVAL,8K,8061,8305,244,128,131072,73495,False,llama_chat_v4,5d2869822989e19b
SEC_0002_16K,SEC_0002,SEC,DIRECT_RETRIEVAL,16K,16206,16450,244,128,131072,65350,False,llama_chat_v4,5d2869822989e19b
SEC_0002_32K,SEC_0002,SEC,DIRECT_RETRIEVAL,32K,32476,32720,244,128,131072,49080,False,llama_chat_v4,5d2869822989e19b
SEC_0002_64K,SEC_0002,SEC,DIRECT_RETRIEVAL,64K,64992,65236,244,128,131072,16564,False,llama_chat_v4,5d2869822989e19b
SEC_0002_82K,SEC_0002,SEC,DIRECT_RETRIEVAL,82K,81454,81698,244,128,131072,102,True,llama_chat_v4,5d2869822989e19b
SEC_0003_4K,SEC_0003,SEC,DIRECT_RETRIEVAL,4K,4063,4323,260,128,131072,77477,False,llama_chat_v4,5d2869822989e19b
SEC_0003_8K,SEC_0003,SEC,DIRECT_RETRIEVAL,8K,8113,8373,260,128,131072,73427,False,llama_chat_v4,5d2869822989e19b
SEC_0003_16K,SEC_0003,SEC,DIRECT_RETRIEVAL,16K,16194,16454,260,128,131072,65346,False,llama_chat_v4,5d2869822989e19b
SEC_0003_32K,SEC_0003,SEC,DIRECT_RETRIEVAL,32K,32491,32751,260,128,131072,49049,False,llama_chat_v4,5d2869822989e19b
SEC_0003_64K,SEC_0003,SEC,DIRECT_RETRIEVAL,64K,65081,65341,260,128,131072,16459,False,llama_chat_v4,5d2869822989e19b
SEC_0003_82K,SEC_0003,SEC,DIRECT_RETRIEVAL,82K,81525,81785,260,128,131072,15,True,llama_chat_v4,5d2869822989e19b
SEC_0004_4K,SEC_0004,SEC,DIRECT_RETRIEVAL,4K,4024,4269,245,128,131072,77531,False,llama_chat_v4,5d2869822989e19b
SEC_0004_8K,SEC_0004,SEC,DIRECT_RETRIEVAL,8K,8083,8328,245,128,131072,73472,False,llama_chat_v4,5d2869822989e19b
SEC_0004_16K,SEC_0004,SEC,DIRECT_RETRIEVAL,16K,16235,16480,245,128,131072,65320,False,llama_chat_v4,5d2869822989e19b
SEC_0004_32K,SEC_0004,SEC,DIRECT_RETRIEVAL,32K,32525,32770,245,128,131072,49030,False,llama_chat_v4,5d2869822989e19b
SEC_0004_64K,SEC_0004,SEC,DIRECT_RETRIEVAL,64K,64962,65207,245,128,131072,16593,False,llama_chat_v4,5d2869822989e19b
