domain,context,N,accuracy,hallucination_rate,correct_count,hallucination_count
CLINICAL_TRIALS,4K,25,0.48,0.44,12,11
CLINICAL_TRIALS,8K,25,0.52,0.44,13,11
CLINICAL_TRIALS,16K,25,0.44,0.4,11,10
CLINICAL_TRIALS,32K,25,0.44,0.4,11,10
CLINICAL_TRIALS,64K,25,0.24,0.44,6,11
FDA,4K,25,0.52,0.48,13,12
FDA,8K,25,0.48,0.52,12,13
FDA,16K,25,0.36,0.48,9,12
FDA,32K,25,0.36,0.44,9,11
FDA,64K,25,0.32,0.44,8,11
FRED,4K,25,0.64,0.2,16,5
FRED,8K,25,0.52,0.24,13,6
FRED,16K,25,0.44,0.2,11,5
FRED,32K,25,0.44,0.28,11,7
FRED,64K,25,0.24,0.28,6,7
SEC,4K,25,0.64,0.28,16,7
SEC,8K,25,0.48,0.32,12,8
SEC,16K,25,0.48,0.24,12,6
SEC,32K,25,0.28,0.36,7,9
SEC,64K,25,0.28,0.52,7,13
