question_family_id,domain,question_type,answerable,gold_answer,gold_evidence_count,equivalence_group_count_82k,distractor_count_82k,rendered_tokens_82k,target_position_82k,checks
SEC_0001,SEC,DIRECT_RETRIEVAL,True,"420,315,000,000",1,1,582,81669,0.5000245630841409,PASS
SEC_0006,SEC,ENTITY_UNIT_BINDING,True,"-492,000,000",1,1,567,81708,0.5001104796042375,PASS
SEC_0009,SEC,RETRIEVAL_CALCULATION,True,5.93%,2,2,581,81733,0.5007854881072191,PASS
SEC_0017,SEC,TEMPORAL_VERSION,True,"-16,276,000,000",1,1,568,81793,0.4992948938048757,PASS
SEC_0021,SEC,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,580,81730,,PASS
SEC_0002,SEC,DIRECT_RETRIEVAL,True,"63,937,000,000",1,1,585,81698,0.50074275050949,PASS
SEC_0007,SEC,ENTITY_UNIT_BINDING,True,"14,527,000,000",1,1,579,81788,0.49993255423252847,PASS
SEC_0010,SEC,RETRIEVAL_CALCULATION,True,27.84%,2,2,586,81754,0.5005889498288365,PASS
SEC_0018,SEC,TEMPORAL_VERSION,True,"81,770,000,000",1,1,581,81718,0.5008038979847321,PASS
SEC_0022,SEC,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,585,81755,,PASS
SEC_0003,SEC,DIRECT_RETRIEVAL,True,"281,724,000,000",1,1,570,81785,0.5005090463048145,PASS
SEC_0008,SEC,ENTITY_UNIT_BINDING,True,"-15,999,000,000",1,1,567,81689,0.49933082854476696,PASS
SEC_0011,SEC,RETRIEVAL_CALCULATION,True,5.30%,2,2,576,81686,0.500221065042248,PASS
SEC_0019,SEC,TEMPORAL_VERSION,True,"10,151,000,000",1,1,571,81705,0.4997789295276461,PASS
SEC_0023,SEC,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,571,81783,,PASS
SEC_0004,SEC,DIRECT_RETRIEVAL,True,"115,856,000,000",1,1,588,81663,0.4991955095924734,PASS
SEC_0094,SEC,ENTITY_UNIT_BINDING,True,"3,785,000,000",1,1,567,81746,0.500791401332499,PASS
SEC_0012,SEC,RETRIEVAL_CALCULATION,True,20.68%,2,2,579,81716,0.49992634512220574,PASS
SEC_0020,SEC,TEMPORAL_VERSION,True,"3,706,200,000",1,1,554,81732,0.5008349500257853,PASS
SEC_0024,SEC,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,585,81779,,PASS
SEC_0005,SEC,DIRECT_RETRIEVAL,True,"15,119,000,000",1,1,578,81708,0.49973605706078056,PASS
SEC_0095,SEC,ENTITY_UNIT_BINDING,True,"2,249,000,000",1,1,573,81747,0.5006993521790342,PASS
SEC_0013,SEC,RETRIEVAL_CALCULATION,True,79.70%,2,2,578,81750,0.4992636771960828,PASS
SEC_0078,SEC,TEMPORAL_VERSION,True,"26,028,000,000",1,1,577,81699,0.49996317256110284,PASS
SEC_0025,SEC,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,586,81707,,PASS
FDA_0001,FDA,DIRECT_RETRIEVAL,True,TABLET,1,1,865,81737,0.4997914212799372,PASS
FDA_0006,FDA,ENTITY_UNIT_BINDING,True,40MG,1,1,817,81796,0.5006253525271599,PASS
FDA_0010,FDA,RETRIEVAL_CALCULATION,True,2,2,2,865,81779,0.49967505395330586,PASS
FDA_0018,FDA,TEMPORAL_VERSION,True,2018-08-24,1,1,865,81785,0.4995340796233402,PASS
FDA_0021,FDA,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,862,81779,,PASS
FDA_0002,FDA,DIRECT_RETRIEVAL,True,TABLET,1,1,865,81720,0.500276121051469,PASS
FDA_0007,FDA,ENTITY_UNIT_BINDING,True,0.3MG,1,1,823,81729,0.5003865362669186,PASS
FDA_0011,FDA,RETRIEVAL_CALCULATION,True,2,2,2,868,81761,0.4996443201609145,PASS
FDA_0019,FDA,TEMPORAL_VERSION,True,1996-01-29,1,1,867,81731,0.4996809933376686,PASS
FDA_0022,FDA,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,865,81785,,PASS
FDA_0003,FDA,DIRECT_RETRIEVAL,True,TABLET,1,1,865,81722,0.4999202326751506,PASS
FDA_0008,FDA,ENTITY_UNIT_BINDING,True,100MG,1,1,821,81760,0.5004599703165822,PASS
FDA_0012,FDA,RETRIEVAL_CALCULATION,True,3,3,3,859,81754,0.4996258816314014,PASS
FDA_0020,FDA,TEMPORAL_VERSION,True,2013-12-30,1,1,862,81740,0.49960129548298454,PASS
FDA_0023,FDA,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,863,81775,,PASS
FDA_0004,FDA,DIRECT_RETRIEVAL,True,"TABLET, CHEWABLE",1,1,862,81796,0.4998957745788067,PASS
FDA_0009,FDA,ENTITY_UNIT_BINDING,True,"0.088MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",1,1,817,81800,0.5003678093276446,PASS
FDA_0013,FDA,RETRIEVAL_CALCULATION,True,5,5,5,863,81719,0.5005338012786688,PASS
FDA_0078,FDA,TEMPORAL_VERSION,True,2006-10-13,1,1,865,81750,0.5003311908149747,PASS
FDA_0024,FDA,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,865,81797,,PASS
FDA_0005,FDA,DIRECT_RETRIEVAL,True,CAPSULE,1,1,865,81775,0.5002821082068957,PASS
FDA_0090,FDA,ENTITY_UNIT_BINDING,True,EQ 5MG BASE,1,1,820,81779,0.5004292161287158,PASS
FDA_0014,FDA,RETRIEVAL_CALCULATION,True,4.0000,2,2,823,81791,0.4998773623085319,PASS
FDA_0079,FDA,TEMPORAL_VERSION,True,2017-03-10,1,1,864,81767,0.49984056513527436,PASS
FDA_0025,FDA,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,864,81730,,PASS
CT_0001,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,24,1,1,751,81788,0.4996381788745523,PASS
CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,ACTIVE_COMPARATOR,1,1,706,81780,0.5010305231131612,PASS
CT_0010,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,80,2,2,774,81743,0.4995829244357213,PASS
