question_family_id,domain,question_type,state_sequence,inaccuracy_transition,hallucinatory_transition,grounded_transition,state_4K,state_8K,state_16K,state_32K,state_64K,state_82K
CT_0001,CLINICAL_TRIALS,DIRECT_RETRIEVAL,CORRECT|CORRECT|CORRECT|CORRECT|CORRECT|CORRECT,never_inaccurate,never_hallucinatory,never_grounded,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT
CT_0002,CLINICAL_TRIALS,DIRECT_RETRIEVAL,CORRECT|CORRECT|CORRECT|CORRECT|CORRECT|CORRECT,never_inaccurate,never_hallucinatory,never_grounded,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT
CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,CORRECT|CORRECT|CORRECT|CORRECT|CORRECT|CORRECT,never_inaccurate,never_hallucinatory,never_grounded,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT
CT_0004,CLINICAL_TRIALS,DIRECT_RETRIEVAL,CORRECT|CORRECT|CORRECT|CORRECT|CORRECT|CORRECT,never_inaccurate,never_hallucinatory,never_grounded,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT
CT_0005,CLINICAL_TRIALS,DIRECT_RETRIEVAL,CORRECT|CORRECT|CORRECT|CORRECT|CORRECT|CORRECT,never_inaccurate,never_hallucinatory,never_grounded,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT
CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,CORRECT|CORRECT|CORRECT|GROUNDED_INACCURACY|HALLUCINATORY_INACCURACY|GROUNDED_INACCURACY,first_inaccurate_at_32K,non_monotonic_or_recovered_after_hallucinatory,non_monotonic_or_recovered_after_grounded,CORRECT,CORRECT,CORRECT,GROUNDED_INACCURACY,HALLUCINATORY_INACCURACY,GROUNDED_INACCURACY
CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,CORRECT|CORRECT|CORRECT|CORRECT|CORRECT|CORRECT,never_inaccurate,never_hallucinatory,never_grounded,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT
CT_0008,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,CORRECT|CORRECT|CORRECT|CORRECT|GROUNDED_INACCURACY|CORRECT,non_monotonic_or_recovered_after_inaccurate,never_hallucinatory,non_monotonic_or_recovered_after_grounded,CORRECT,CORRECT,CORRECT,CORRECT,GROUNDED_INACCURACY,CORRECT
CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,CORRECT|CORRECT|CORRECT|GROUNDED_INACCURACY|GROUNDED_INACCURACY|GROUNDED_INACCURACY,first_inaccurate_at_32K,never_hallucinatory,first_grounded_at_32K,CORRECT,CORRECT,CORRECT,GROUNDED_INACCURACY,GROUNDED_INACCURACY,GROUNDED_INACCURACY
CT_0010,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,CORRECT|HALLUCINATORY_INACCURACY|HALLUCINATORY_INACCURACY|GROUNDED_INACCURACY|GROUNDED_INACCURACY|HALLUCINATORY_INACCURACY,first_inaccurate_at_8K,non_monotonic_or_recovered_after_hallucinatory,non_monotonic_or_recovered_after_grounded,CORRECT,HALLUCINATORY_INACCURACY,HALLUCINATORY_INACCURACY,GROUNDED_INACCURACY,GROUNDED_INACCURACY,HALLUCINATORY_INACCURACY
