question_type,context,N,accuracy,hallucination_rate,correct_count,hallucination_count
DIRECT_RETRIEVAL,4K,20,0.95,0.0,19,0
DIRECT_RETRIEVAL,8K,20,0.8,0.0,16,0
DIRECT_RETRIEVAL,16K,20,0.7,0.0,14,0
DIRECT_RETRIEVAL,32K,20,0.65,0.0,13,0
DIRECT_RETRIEVAL,64K,20,0.7,0.0,14,0
ENTITY_UNIT_BINDING,4K,19,0.7368421052631579,0.05263157894736842,14,1
ENTITY_UNIT_BINDING,8K,19,0.631578947368421,0.10526315789473684,12,2
ENTITY_UNIT_BINDING,16K,19,0.5789473684210527,0.05263157894736842,11,1
ENTITY_UNIT_BINDING,32K,19,0.5789473684210527,0.0,11,0
ENTITY_UNIT_BINDING,64K,19,0.3157894736842105,0.0,6,0
RETRIEVAL_CALCULATION,4K,30,0.13333333333333333,0.8,4,24
RETRIEVAL_CALCULATION,8K,30,0.06666666666666667,0.8666666666666667,2,26
RETRIEVAL_CALCULATION,16K,30,0.06666666666666667,0.7333333333333333,2,22
RETRIEVAL_CALCULATION,32K,30,0.1,0.7333333333333333,3,22
RETRIEVAL_CALCULATION,64K,30,0.1,0.7333333333333333,3,22
TEMPORAL_VERSION,4K,11,0.9090909090909091,0.0,10,0
TEMPORAL_VERSION,8K,11,0.9090909090909091,0.0,10,0
TEMPORAL_VERSION,16K,11,0.5454545454545454,0.0,6,0
TEMPORAL_VERSION,32K,11,0.45454545454545453,0.09090909090909091,5,1
TEMPORAL_VERSION,64K,11,0.2727272727272727,0.09090909090909091,3,1
UNANSWERABLE,4K,20,0.5,0.5,10,10
UNANSWERABLE,8K,20,0.5,0.5,10,10
UNANSWERABLE,16K,20,0.5,0.5,10,10
UNANSWERABLE,32K,20,0.3,0.7,6,14
UNANSWERABLE,64K,20,0.05,0.95,1,19
