instance_id,question_family_id,domain,question_type,context_length_label,status,input_tokens,generated_tokens_count,generation_latency_seconds,peak_allocated_vram_bytes,peak_reserved_vram_bytes,usable_answer_output,hit_max_new_tokens_128,degenerate_output,malformed_output_pattern
CT_0001_16K,CT_0001,CLINICAL_TRIALS,DIRECT_RETRIEVAL,16K,SUCCESS,16473,6,1.1783932037651539,9547924992,23746052096,True,False,False,usable_answer_line
CT_0001_32K,CT_0001,CLINICAL_TRIALS,DIRECT_RETRIEVAL,32K,SUCCESS,32720,6,2.7890301076695323,12618695168,23746052096,True,False,False,usable_answer_line
CT_0001_4K,CT_0001,CLINICAL_TRIALS,DIRECT_RETRIEVAL,4K,SUCCESS,4291,6,0.2967058178037405,7247073280,23746052096,True,False,False,usable_answer_line
CT_0001_64K,CT_0001,CLINICAL_TRIALS,DIRECT_RETRIEVAL,64K,SUCCESS,65191,6,7.755008350126445,18753038848,23746052096,True,False,False,usable_answer_line
CT_0001_82K,CT_0001,CLINICAL_TRIALS,DIRECT_RETRIEVAL,82K,SUCCESS,81788,6,11.145069807767868,21889272320,23746052096,True,False,False,usable_answer_line
CT_0001_8K,CT_0001,CLINICAL_TRIALS,DIRECT_RETRIEVAL,8K,SUCCESS,8354,6,0.5744224330410361,8013118976,23746052096,True,False,False,usable_answer_line
CT_0002_16K,CT_0002,CLINICAL_TRIALS,DIRECT_RETRIEVAL,16K,SUCCESS,16398,6,1.177573461085558,9533113856,23746052096,True,False,False,usable_answer_line
CT_0002_32K,CT_0002,CLINICAL_TRIALS,DIRECT_RETRIEVAL,32K,SUCCESS,32671,6,2.789107928983867,12608059904,23746052096,True,False,False,usable_answer_line
CT_0002_4K,CT_0002,CLINICAL_TRIALS,DIRECT_RETRIEVAL,4K,SUCCESS,4250,6,0.28623845521360636,7240117760,23746052096,True,False,False,usable_answer_line
CT_0002_64K,CT_0002,CLINICAL_TRIALS,DIRECT_RETRIEVAL,64K,SUCCESS,65112,6,7.73888096306473,18738110976,23746052096,True,False,False,usable_answer_line
CT_0002_82K,CT_0002,CLINICAL_TRIALS,DIRECT_RETRIEVAL,82K,SUCCESS,81735,6,11.180274154990911,21880128000,23746052096,True,False,False,usable_answer_line
CT_0002_8K,CT_0002,CLINICAL_TRIALS,DIRECT_RETRIEVAL,8K,SUCCESS,8341,6,0.5703988028690219,8010663424,23746052096,True,False,False,usable_answer_line
CT_0003_16K,CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,16K,SUCCESS,16405,6,1.1749632135033607,9534436864,23746052096,True,False,False,usable_answer_line
CT_0003_32K,CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,32K,SUCCESS,32688,6,2.7810612358152866,12612254208,23746052096,True,False,False,usable_answer_line
CT_0003_4K,CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,4K,SUCCESS,4289,6,0.28574507869780064,7246699520,23746052096,True,False,False,usable_answer_line
CT_0003_64K,CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,64K,SUCCESS,65169,6,7.753598188050091,18748882432,23746052096,True,False,False,usable_answer_line
CT_0003_82K,CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,82K,SUCCESS,81727,6,11.162120540626347,21877680640,23746052096,True,False,False,usable_answer_line
CT_0003_8K,CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,8K,SUCCESS,8306,6,0.568892297334969,8004048384,23746052096,True,False,False,usable_answer_line
CT_0004_16K,CT_0004,CLINICAL_TRIALS,DIRECT_RETRIEVAL,16K,SUCCESS,16429,6,1.1766836866736412,9538971136,23746052096,True,False,False,usable_answer_line
CT_0004_32K,CT_0004,CLINICAL_TRIALS,DIRECT_RETRIEVAL,32K,SUCCESS,32692,6,2.7840964822098613,12613976576,23746052096,True,False,False,usable_answer_line
CT_0004_4K,CT_0004,CLINICAL_TRIALS,DIRECT_RETRIEVAL,4K,SUCCESS,4253,6,0.2825364703312516,7240487936,23725080576,True,False,False,usable_answer_line
