context,error_type,count,percent
4K,CORRECT,57,0.57
4K,UNSUPPORTED_VALUE,25,0.25
4K,FAILED_TO_ABSTAIN,10,0.1
4K,WRONG_ENTITY,1,0.01
4K,WRONG_PERIOD,1,0.01
4K,WRONG_VERSION,1,0.01
4K,WRONG_FIELD,2,0.02
4K,CALCULATION_ERROR,1,0.01
4K,UNNECESSARY_ABSTENTION,1,0.01
4K,WRONG_UNIT,1,0.01
4K,WRONG_SERIES_VARIANT,0,0.0
8K,CORRECT,50,0.5
8K,UNSUPPORTED_VALUE,28,0.28
8K,FAILED_TO_ABSTAIN,10,0.1
8K,WRONG_ENTITY,2,0.02
8K,WRONG_PERIOD,0,0.0
8K,WRONG_VERSION,1,0.01
8K,WRONG_FIELD,3,0.03
8K,CALCULATION_ERROR,1,0.01
8K,UNNECESSARY_ABSTENTION,1,0.01
8K,WRONG_UNIT,2,0.02
8K,WRONG_SERIES_VARIANT,2,0.02
16K,CORRECT,43,0.43
16K,UNSUPPORTED_VALUE,23,0.23
16K,FAILED_TO_ABSTAIN,10,0.1
16K,WRONG_ENTITY,8,0.08
16K,WRONG_PERIOD,4,0.04
16K,WRONG_VERSION,5,0.05
16K,WRONG_FIELD,2,0.02
16K,CALCULATION_ERROR,2,0.02
16K,UNNECESSARY_ABSTENTION,2,0.02
16K,WRONG_UNIT,1,0.01
16K,WRONG_SERIES_VARIANT,0,0.0
32K,CORRECT,38,0.38
32K,UNSUPPORTED_VALUE,23,0.23
32K,FAILED_TO_ABSTAIN,14,0.14
32K,WRONG_ENTITY,11,0.11
32K,WRONG_PERIOD,5,0.05
32K,WRONG_VERSION,3,0.03
32K,WRONG_FIELD,1,0.01
32K,CALCULATION_ERROR,3,0.03
32K,UNNECESSARY_ABSTENTION,1,0.01
32K,WRONG_UNIT,1,0.01
32K,WRONG_SERIES_VARIANT,0,0.0
64K,CORRECT,27,0.27
64K,UNSUPPORTED_VALUE,23,0.23
64K,FAILED_TO_ABSTAIN,19,0.19
64K,WRONG_ENTITY,9,0.09
64K,WRONG_PERIOD,7,0.07
64K,WRONG_VERSION,5,0.05
64K,WRONG_FIELD,4,0.04
64K,CALCULATION_ERROR,3,0.03
64K,UNNECESSARY_ABSTENTION,1,0.01
64K,WRONG_UNIT,1,0.01
64K,WRONG_SERIES_VARIANT,1,0.01
