Group,Context,N,Correct,Inaccurate
DIRECT_RETRIEVAL,16K,20,70.0%,30.0%
DIRECT_RETRIEVAL,32K,20,65.0%,35.0%
DIRECT_RETRIEVAL,4K,20,95.0%,5.0%
DIRECT_RETRIEVAL,64K,20,70.0%,30.0%
DIRECT_RETRIEVAL,8K,20,80.0%,20.0%
ENTITY_UNIT_BINDING,16K,19,57.9%,42.1%
ENTITY_UNIT_BINDING,32K,19,57.9%,42.1%
ENTITY_UNIT_BINDING,4K,19,73.7%,26.3%
ENTITY_UNIT_BINDING,64K,19,31.6%,68.4%
ENTITY_UNIT_BINDING,8K,19,63.2%,36.8%
RETRIEVAL_CALCULATION,16K,30,6.7%,93.3%
RETRIEVAL_CALCULATION,32K,30,10.0%,90.0%
RETRIEVAL_CALCULATION,4K,30,13.3%,86.7%
RETRIEVAL_CALCULATION,64K,30,10.0%,90.0%
RETRIEVAL_CALCULATION,8K,30,6.7%,93.3%
TEMPORAL_VERSION,16K,11,54.5%,45.5%
TEMPORAL_VERSION,32K,11,45.5%,54.5%
TEMPORAL_VERSION,4K,11,90.9%,9.1%
TEMPORAL_VERSION,64K,11,27.3%,72.7%
TEMPORAL_VERSION,8K,11,90.9%,9.1%
UNANSWERABLE,16K,20,50.0%,50.0%
UNANSWERABLE,32K,20,30.0%,70.0%
UNANSWERABLE,4K,20,50.0%,50.0%
UNANSWERABLE,64K,20,5.0%,95.0%
UNANSWERABLE,8K,20,50.0%,50.0%
