question_type,context,n,accurate_count,inaccurate_count,accurate_rate,inaccuracy_rate
DIRECT_RETRIEVAL,4K,100,89,11,0.89,0.11
ENTITY_UNIT_BINDING,4K,95,72,23,0.7578947368421053,0.24210526315789474
RETRIEVAL_CALCULATION,4K,150,15,135,0.1,0.9
TEMPORAL_VERSION,4K,55,46,9,0.8363636363636363,0.16363636363636364
UNANSWERABLE,4K,100,26,74,0.26,0.74
DIRECT_RETRIEVAL,8K,100,82,18,0.82,0.18
ENTITY_UNIT_BINDING,8K,95,68,27,0.7157894736842105,0.28421052631578947
RETRIEVAL_CALCULATION,8K,150,13,137,0.08666666666666667,0.9133333333333333
TEMPORAL_VERSION,8K,55,38,17,0.6909090909090909,0.3090909090909091
UNANSWERABLE,8K,100,33,67,0.33,0.67
DIRECT_RETRIEVAL,16K,100,81,19,0.81,0.19
ENTITY_UNIT_BINDING,16K,95,62,33,0.6526315789473685,0.3473684210526316
RETRIEVAL_CALCULATION,16K,150,12,138,0.08,0.92
TEMPORAL_VERSION,16K,55,35,20,0.6363636363636364,0.36363636363636365
UNANSWERABLE,16K,100,30,70,0.3,0.7
