Group,Context,N,Correct,Inaccurate
CLINICAL_TRIALS,16K,25,44.0%,56.0%
CLINICAL_TRIALS,32K,25,44.0%,56.0%
CLINICAL_TRIALS,4K,25,48.0%,52.0%
CLINICAL_TRIALS,64K,25,24.0%,76.0%
CLINICAL_TRIALS,8K,25,52.0%,48.0%
FDA,16K,25,36.0%,64.0%
FDA,32K,25,36.0%,64.0%
FDA,4K,25,52.0%,48.0%
FDA,64K,25,32.0%,68.0%
FDA,8K,25,48.0%,52.0%
FRED,16K,25,44.0%,56.0%
FRED,32K,25,44.0%,56.0%
FRED,4K,25,64.0%,36.0%
FRED,64K,25,24.0%,76.0%
FRED,8K,25,52.0%,48.0%
SEC,16K,25,48.0%,52.0%
SEC,32K,25,28.0%,72.0%
SEC,4K,25,64.0%,36.0%
SEC,64K,25,28.0%,72.0%
SEC,8K,25,48.0%,52.0%
