abstention_correct,answer_correct,answer_line_valid,answerable,context_length_label,domain,error_type,evidence_correct,execution_order_index,generated_tokens_count,generated_tokens_per_second,generation_latency_seconds,gold_answer,gold_answer_normalized,gold_evidence_display_ids,gold_evidence_ids,grading_rule_used,hallucination,input_tokens,instance_id,matched_context_record,matched_context_value,matched_distractor_type,needs_semantic_review,normalized_gold_answer,normalized_model_answer,parse_failure_reason,parsed_answer,parsed_selected_evidence,peak_allocated_vram_bytes,peak_reserved_vram_bytes,question,question_family_id,question_type,raw_output_text,review_reason,manual_adjudication,original_answer_correct,original_hallucination,original_error_type,final_answer_correct,final_hallucination,final_error_type,adjudication_method,adjudication_reason
True,True,True,True,64K,FDA,CORRECT,,0,6,0.7794257918882889,7.697974666021764,TABLET,TABLET,['R89F59D6895'],['FDA-ANDA075999-006-product-dosage-form-a7cba6df'],answer_only_exact_match,False,65032,FDA_0003_64K,"{'canonical_record_id': 'FDA-ANDA075961-002-product-dosage-form-3a32f494', 'display_id': 'R842273FF7D', 'distractor_type': 'WRONG_ENTITY', 'is_gold_or_equivalent': False, 'record_value': 'TABLET'}",TABLET,WRONG_ENTITY,False,tablet,tablet,,TABLET,,18722994688,21321744384,"Using only the Drugs@FDA records supplied in the context, what DOSAGE FORM is listed for product number 006 under FDA application ANDA075999 (brand name ""LISINOPRIL"", active ingredient LISINOPRIL)? Answer with the dosage form exactly as recorded.",FDA_0003,DIRECT_RETRIEVAL,ANSWER: TABLET,,False,True,False,CORRECT,True,False,CORRECT,,
True,True,True,True,4K,CLINICAL_TRIALS,CORRECT,,1,6,20.251051912241945,0.2962809056043625,226,226.0,['R3E85812DF7'],['CT-NCT02408120-enrollment-count-8faccd69'],answer_only_exact_match,False,4229,CT_0003_4K,"{'canonical_record_id': 'CT-NCT02408120-enrollment-count-8faccd69', 'display_id': 'R3E85812DF7', 'distractor_type': None, 'is_gold_or_equivalent': True, 'record_value': '226.0'}",226.0,,False,226,226,,226,,7235484672,21321744384,"Using only the ClinicalTrials.gov records supplied in the context, what enrollment count is reported for trial NCT02408120 (""Benefits of Insulin Supplementation for Correction of Hyperglycemia in Patients With Type 2 Diabetes"")? Report the actual number of participants as an integer.",CT_0003,DIRECT_RETRIEVAL,ANSWER: 226,,False,True,False,CORRECT,True,False,CORRECT,,
True,True,True,True,4K,FDA,CORRECT,,2,7,22.738677995126757,0.30784551333636045,100MG,100MG,['RDD82BB12F5'],['FDA-ANDA090428-003-strength-LOSARTAN-POTASSIUM-0-73ee1961'],answer_only_exact_match,False,4255,FDA_0008_4K,"{'canonical_record_id': 'FDA-ANDA090428-003-strength-LOSARTAN-POTASSIUM-0-73ee1961', 'display_id': 'RDD82BB12F5', 'distractor_type': None, 'is_gold_or_equivalent': True, 'record_value': '100MG'}",100MG,,False,100mg,100mg,,100MG,,7240343552,21321744384,"Using only the Drugs@FDA records supplied in the context, what is the listed strength of LOSARTAN POTASSIUM in product number 003 under FDA application ANDA090428 (dosage form TABLET, route ORAL)? Report the strength string exactly as recorded.",FDA_0008,ENTITY_UNIT_BINDING,ANSWER: 100MG,,False,True,False,CORRECT,True,False,CORRECT,,
True,False,True,True,32K,SEC,UNSUPPORTED_VALUE,,3,8,2.7857470606046335,2.871761084534228,5.93%,5.93,"['RB1AFF6F2F5', 'R8C100B55A6']","['SEC-0000104169-OperatingIncomeLoss-USD-CY2011-0000104169-14-000019-ab2642b5', 'SEC-0000104169-Revenues-USD-CY2011-0000104169-14-000019-50faff09']",answer_not_matched_to_context_value,True,32786,SEC_0009_32K,,,,False,5.93,0.07,,0.07,,12629790208,21321744384,"Using only the SEC XBRL company-facts records supplied in the context, calculate WALMART INC.'s (CIK 0000104169) operating margin for the annual XBRL frame CY2011. Divide us-gaap:OperatingIncomeLoss by Revenues for that same company and frame, both in USD, multiply by 100, and round to two decimal places.",SEC_0009,RETRIEVAL_CALCULATION,ANSWER: 0.07,,False,False,True,UNSUPPORTED_VALUE,False,True,UNSUPPORTED_VALUE,,
True,True,True,True,64K,SEC,CORRECT,,4,11,1.3844719311996725,7.945267615839839,"-16,276,000,000",-16276000000.0,['R39ABB404FD'],['SEC-0000789019-NetCashProvidedByUsedInF-USD-CY2021Q3-0001564590-22-035087-306cc7fc'],answer_only_exact_match,False,65280,SEC_0017_64K,"{'canonical_record_id': 'SEC-0000789019-NetCashProvidedByUsedInF-USD-CY2021Q3-0001564590-22-035087-306cc7fc', 'display_id': 'R39ABB404FD', 'distractor_type': None, 'is_gold_or_equivalent': True, 'record_value': '-16276000000.0'}",-16276000000.0,,False,-16276000000.0,-16276000000.0,,-16276000000.0,,18769854976,21323841536,"Using only the SEC XBRL company-facts records supplied in the context, what did MICROSOFT CORPORATION (CIK 0000789019) report for us-gaap:NetCashProvidedByUsedInFinancingActivities for the single quarterly XBRL frame CY2021Q3, in USD? Report the quarterly figure exactly.",SEC_0017,TEMPORAL_VERSION,ANSWER: -16276000000.0,,False,True,False,CORRECT,True,False,CORRECT,,
True,False,True,True,32K,CLINICAL_TRIALS,WRONG_ENTITY,,5,9,3.144274515093743,2.862345497123897,ACTIVE_COMPARATOR,ACTIVE_COMPARATOR,['RB0734CF34D'],['CT-NCT01340300-arm-type-Control-3-fc797906'],answer_matches_context_distractor_value,False,32715,CT_0006_32K,"{'canonical_record_id': 'CT-NCT02301780-arm-type-Control-Group-0-d8f7c1c8', 'display_id': 'R1D5E1122A7', 'distractor_type': 'WRONG_ENTITY', 'is_gold_or_equivalent': False, 'record_value': 'PLACEBO_COMPARATOR'}",PLACEBO_COMPARATOR,WRONG_ENTITY,False,active_comparator,placebo_comparator,,PLACEBO_COMPARATOR,,12619414016,21323841536,"Using only the ClinicalTrials.gov records supplied in the context, what is the arm-group TYPE of the arm labelled ""Control"" in trial NCT01340300 (""Exercise and Metformin in Colorectal and Breast Cancer Survivors"")? Answer with the ClinicalTrials.gov arm type value (for example EXPERIMENTAL, ACTIVE_COMPARATOR, PLACEBO_COMPARATOR, SHAM_COMPARATOR, NO_INTERVENTION or OTHER).",CT_0006,ENTITY_UNIT_BINDING,ANSWER: PLACEBO_COMPARATOR,,False,False,False,WRONG_ENTITY,False,False,WRONG_ENTITY,,
False,False,True,False,4K,CLINICAL_TRIALS,FAILED_TO_ABSTAIN,,6,11,32.016060996744194,0.3435775563120842,,INSUFFICIENT_EVIDENCE,[],[],unanswerable_instance_factual_answer,True,4227,CT_0024_4K,"{'canonical_record_id': 'CT-NCT06097390-study-last-update-posted-709747d7', 'display_id': 'R5AA8DDDD54', 'distractor_type': 'WRONG_FIELD', 'is_gold_or_equivalent': False, 'record_value': '2025-07-17'}",2025-07-17,WRONG_FIELD,False,INSUFFICIENT_EVIDENCE,2025-07-17,,2025-07-17,,7235110912,21323841536,"Using only the ClinicalTrials.gov records supplied in the context, what is the date on which results were first posted for trial NCT06097390 (""A Research Study Looking at New Protein-based Tablets in Healthy Men - Oral Formulation III"")?",CT_0024,UNANSWERABLE,ANSWER: 2025-07-17,,False,False,True,FAILED_TO_ABSTAIN,False,True,FAILED_TO_ABSTAIN,,
True,True,True,True,32K,FRED,CORRECT,,7,8,2.837300631977492,2.8195813689380884,1.770,1.77,['R402DBA2483'],['FRED-WGS10YR-2015-01-30-latest-bd2bd66f'],answer_only_exact_match,False,32592,FRED_0008_32K,"{'canonical_record_id': 'FRED-WGS10YR-2015-01-30-latest-bd2bd66f', 'display_id': 'R402DBA2483', 'distractor_type': None, 'is_gold_or_equivalent': True, 'record_value': '1.77'}",1.77,,False,1.77,1.77,,1.77,,12593132032,21323841536,"Using only the FRED records supplied in the context, report the value of FRED series WGS10YR (""Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity""), measured in Percent, not seasonally adjusted, weekly frequency for United States on the observation dated 2015-01-30. Report the value for series WGS10YR exactly.",FRED_0008,ENTITY_UNIT_BINDING,ANSWER: 1.77,,False,True,False,CORRECT,True,False,CORRECT,,
True,True,True,True,8K,SEC,CORRECT,,8,9,14.814385509380385,0.6075176047161222,"63,937,000,000",63937000000.0,['R2940A33ABA'],['SEC-0000200406-GrossProfit-USD-CY2025-0000200406-26-000016-de0a564d'],answer_only_exact_match,False,8310,SEC_0002_8K,"{'canonical_record_id': 'SEC-0000200406-GrossProfit-USD-CY2025-0000200406-26-000016-de0a564d', 'display_id': 'R2940A33ABA', 'distractor_type': None, 'is_gold_or_equivalent': True, 'record_value': '63937000000.0'}",63937000000.0,,False,63937000000.0,63937000000.0,,63937000000,,8004804096,21323841536,"Using only the SEC XBRL company-facts records supplied in the context, what value did Johnson & Johnson (CIK 0000200406) report for the us-gaap concept ""GrossProfit"" (Gross Profit) for the annual XBRL frame CY2025, in USD? Report the exact reported figure.",SEC_0002,DIRECT_RETRIEVAL,ANSWER: 63937000000,,False,True,False,CORRECT,True,False,CORRECT,,
True,False,True,True,4K,FRED,CALCULATION_ERROR,,9,8,25.420003630797247,0.31471277959644794,1.38,1.38,"['R8990F7BC23', 'RC63C1F3E93']","['FRED-DGS10-2021-03-01-latest-d3e46d51', 'FRED-FEDFUNDS-2021-03-01-latest-1bc0daea']",calculation_answer_matches_context_operand_or_value,False,4276,FRED_0013_4K,"{'canonical_record_id': 'FRED-DGS10-2021-03-01-latest-d3e46d51', 'display_id': 'R8990F7BC23', 'distractor_type': None, 'is_gold_or_equivalent': True, 'record_value': '1.45'}",1.45,,False,1.38,1.45,,1.45,,7244268032,21323841536,"Using only the FRED records supplied in the context, subtract the value of FRED series FEDFUNDS (""Federal Funds Effective Rate""), measured in Percent, not seasonally adjusted, monthly frequency from the value of FRED series DGS10 (""Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity""), measured in Percent, not seasonally adjusted, daily frequency, both for the observation dated 2021-03-01 and both taken from the most recent vintage. Report the difference in Percent, rounded to two decimal places.",FRED_0013,RETRIEVAL_CALCULATION,ANSWER: 1.45,,False,False,False,CALCULATION_ERROR,False,False,CALCULATION_ERROR,,
