context,error_type,count,rate_of_gradable
4K,UNSUPPORTED_VALUE,99,0.198
4K,FAILED_TO_ABSTAIN,43,0.086
4K,WRONG_ENTITY,11,0.022
4K,WRONG_PERIOD,6,0.012
4K,WRONG_VERSION,5,0.01
4K,WRONG_FIELD,0,0.0
4K,WRONG_UNIT,2,0.004
4K,WRONG_SERIES_VARIANT,0,0.0
4K,CALCULATION_ERROR,6,0.012
4K,UNNECESSARY_ABSTENTION,54,0.108
8K,UNSUPPORTED_VALUE,93,0.186
8K,FAILED_TO_ABSTAIN,50,0.1
8K,WRONG_ENTITY,14,0.028
8K,WRONG_PERIOD,7,0.014
8K,WRONG_VERSION,11,0.022
8K,WRONG_FIELD,3,0.006
8K,WRONG_UNIT,1,0.002
8K,WRONG_SERIES_VARIANT,5,0.01
8K,CALCULATION_ERROR,7,0.014
8K,UNNECESSARY_ABSTENTION,80,0.16
16K,UNSUPPORTED_VALUE,73,0.146
16K,FAILED_TO_ABSTAIN,47,0.094
16K,WRONG_ENTITY,15,0.03
16K,WRONG_PERIOD,12,0.024
16K,WRONG_VERSION,9,0.018
16K,WRONG_FIELD,7,0.014
16K,WRONG_UNIT,2,0.004
16K,WRONG_SERIES_VARIANT,1,0.002
16K,CALCULATION_ERROR,10,0.02
16K,UNNECESSARY_ABSTENTION,127,0.254
32K,UNSUPPORTED_VALUE,75,0.15
32K,FAILED_TO_ABSTAIN,47,0.094
32K,WRONG_ENTITY,29,0.058
32K,WRONG_PERIOD,14,0.028
32K,WRONG_VERSION,5,0.01
32K,WRONG_FIELD,9,0.018
32K,WRONG_UNIT,0,0.0
32K,WRONG_SERIES_VARIANT,0,0.0
32K,CALCULATION_ERROR,2,0.004
32K,UNNECESSARY_ABSTENTION,163,0.326
64K,UNSUPPORTED_VALUE,69,0.138
64K,FAILED_TO_ABSTAIN,23,0.046
64K,WRONG_ENTITY,31,0.062
64K,WRONG_PERIOD,13,0.026
64K,WRONG_VERSION,2,0.004
64K,WRONG_FIELD,13,0.026
64K,WRONG_UNIT,0,0.0
64K,WRONG_SERIES_VARIANT,0,0.0
64K,CALCULATION_ERROR,1,0.002
64K,UNNECESSARY_ABSTENTION,185,0.37
82K,UNSUPPORTED_VALUE,70,0.14
82K,FAILED_TO_ABSTAIN,27,0.054
82K,WRONG_ENTITY,33,0.066
82K,WRONG_PERIOD,15,0.03
82K,WRONG_VERSION,5,0.01
82K,WRONG_FIELD,14,0.028
82K,WRONG_UNIT,0,0.0
82K,WRONG_SERIES_VARIANT,0,0.0
82K,CALCULATION_ERROR,2,0.004
82K,UNNECESSARY_ABSTENTION,190,0.38
