question_type,context,n,correct_rate,inaccuracy_rate,hallucinatory_rate,grounded_rate
DIRECT_RETRIEVAL,4K,100,0.87,0.13,0.0,0.13
DIRECT_RETRIEVAL,8K,100,0.8,0.2,0.0,0.2
DIRECT_RETRIEVAL,16K,100,0.65,0.35,0.0,0.35
DIRECT_RETRIEVAL,32K,100,0.53,0.47,0.0,0.47
DIRECT_RETRIEVAL,64K,100,0.41,0.59,0.0,0.59
DIRECT_RETRIEVAL,82K,100,0.35,0.65,0.0,0.65
ENTITY_UNIT_BINDING,4K,95,0.7263157894736842,0.2736842105263158,0.031578947368421054,0.24210526315789474
ENTITY_UNIT_BINDING,8K,95,0.6,0.4,0.07368421052631578,0.3263157894736842
ENTITY_UNIT_BINDING,16K,95,0.47368421052631576,0.5263157894736842,0.042105263157894736,0.4842105263157895
ENTITY_UNIT_BINDING,32K,95,0.3157894736842105,0.6842105263157895,0.042105263157894736,0.6421052631578947
ENTITY_UNIT_BINDING,64K,95,0.28421052631578947,0.7157894736842105,0.06315789473684211,0.6526315789473685
ENTITY_UNIT_BINDING,82K,95,0.24210526315789474,0.7578947368421053,0.031578947368421054,0.7263157894736842
RETRIEVAL_CALCULATION,4K,150,0.04666666666666667,0.9533333333333334,0.64,0.31333333333333335
RETRIEVAL_CALCULATION,8K,150,0.013333333333333334,0.9866666666666667,0.5733333333333334,0.41333333333333333
RETRIEVAL_CALCULATION,16K,150,0.02666666666666667,0.9733333333333334,0.46,0.5133333333333333
RETRIEVAL_CALCULATION,32K,150,0.0,1.0,0.47333333333333333,0.5266666666666666
RETRIEVAL_CALCULATION,64K,150,0.0,1.0,0.42,0.58
RETRIEVAL_CALCULATION,82K,150,0.0,1.0,0.44666666666666666,0.5533333333333333
TEMPORAL_VERSION,4K,55,0.9818181818181818,0.01818181818181818,0.0,0.01818181818181818
TEMPORAL_VERSION,8K,55,0.7272727272727273,0.2727272727272727,0.0,0.2727272727272727
TEMPORAL_VERSION,16K,55,0.5454545454545454,0.45454545454545453,0.0,0.45454545454545453
TEMPORAL_VERSION,32K,55,0.36363636363636365,0.6363636363636364,0.0,0.6363636363636364
TEMPORAL_VERSION,64K,55,0.32727272727272727,0.6727272727272727,0.0,0.6727272727272727
TEMPORAL_VERSION,82K,55,0.23636363636363636,0.7636363636363637,0.0,0.7636363636363637
UNANSWERABLE,4K,100,0.57,0.43,0.43,0.0
UNANSWERABLE,8K,100,0.5,0.5,0.5,0.0
UNANSWERABLE,16K,100,0.53,0.47,0.47,0.0
UNANSWERABLE,32K,100,0.53,0.47,0.47,0.0
UNANSWERABLE,64K,100,0.77,0.23,0.23,0.0
UNANSWERABLE,82K,100,0.73,0.27,0.27,0.0
