instance_id,question_family_id,context_length_label,domain,question_type,answerable,generated_tokens_count,hit_max_new_tokens_512,strict_json_valid,recovery_success,usable_structured_output,format_failure,output_truncated,degenerate_output,malformed_output_pattern,recovery_method,parse_confidence,parse_failure_reason,raw_output_chars
SEC_0021_32K,SEC_0021,32K,SEC,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,907
FDA_0002_32K,FDA_0002,32K,FDA,DIRECT_RETRIEVAL,True,21,False,True,False,True,False,False,False,valid_json,,strict,,78
SEC_0006_32K,SEC_0006,32K,SEC,ENTITY_UNIT_BINDING,True,32,False,True,False,True,False,False,False,valid_json,,strict,,93
SEC_0019_64K,SEC_0019,64K,SEC,TEMPORAL_VERSION,True,30,False,True,False,True,False,False,False,valid_json,,strict,,91
CT_0025_4K,CT_0025,4K,CLINICAL_TRIALS,UNANSWERABLE,False,79,False,True,False,True,False,False,False,valid_json,,strict,,163
FRED_0004_4K,FRED_0004,4K,FRED,DIRECT_RETRIEVAL,True,46,False,True,False,True,False,False,False,valid_json,,strict,,124
FRED_0008_16K,FRED_0008,16K,FRED,ENTITY_UNIT_BINDING,True,26,False,True,False,True,False,False,False,valid_json,,strict,,83
FDA_0018_4K,FDA_0018,4K,FDA,TEMPORAL_VERSION,True,62,False,True,False,True,False,False,False,valid_json,,strict,,145
SEC_0002_4K,SEC_0002,4K,SEC,DIRECT_RETRIEVAL,True,45,False,True,False,True,False,False,False,valid_json,,strict,,120
CT_0004_64K,CT_0004,64K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,25,False,True,False,True,False,False,False,valid_json,,strict,,83
SEC_0016_32K,SEC_0016,32K,SEC,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,863
FDA_0021_8K,FDA_0021,8K,FDA,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,933
SEC_0021_16K,SEC_0021,16K,SEC,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,970
FRED_0009_16K,FRED_0009,16K,FRED,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,888
FRED_0014_64K,FRED_0014,64K,FRED,RETRIEVAL_CALCULATION,True,35,False,True,False,True,False,False,False,valid_json,,strict,,97
CT_0006_4K,CT_0006,4K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,28,False,True,False,True,False,False,False,valid_json,,strict,,96
SEC_0010_8K,SEC_0010,8K,SEC,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,914
SEC_0006_16K,SEC_0006,16K,SEC,ENTITY_UNIT_BINDING,True,42,False,True,False,True,False,False,False,valid_json,,strict,,118
SEC_0022_32K,SEC_0022,32K,SEC,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1024
FRED_0011_16K,FRED_0011,16K,FRED,RETRIEVAL_CALCULATION,True,37,False,True,False,True,False,False,False,valid_json,,strict,,97
FDA_0004_4K,FDA_0004,4K,FDA,DIRECT_RETRIEVAL,True,62,False,True,False,True,False,False,False,valid_json,,strict,,152
FDA_0008_16K,FDA_0008,16K,FDA,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,767
CT_0009_4K,CT_0009,4K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,27,False,True,False,True,False,False,False,valid_json,,strict,,96
FDA_0023_8K,FDA_0023,8K,FDA,UNANSWERABLE,False,42,False,True,False,True,False,False,False,valid_json,,strict,,111
FDA_0009_32K,FDA_0009,32K,FDA,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,818
FRED_0015_16K,FRED_0015,16K,FRED,RETRIEVAL_CALCULATION,True,36,False,True,False,True,False,False,False,valid_json,,strict,,94
FDA_0003_4K,FDA_0003,4K,FDA,DIRECT_RETRIEVAL,True,116,False,True,False,True,False,False,False,valid_json,,strict,,239
FDA_0021_16K,FDA_0021,16K,FDA,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,900
FRED_0023_16K,FRED_0023,16K,FRED,UNANSWERABLE,False,40,False,True,False,True,False,False,False,valid_json,,strict,,113
SEC_0003_4K,SEC_0003,4K,SEC,DIRECT_RETRIEVAL,True,54,False,True,False,True,False,False,False,valid_json,,strict,,134
SEC_0007_32K,SEC_0007,32K,SEC,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,812
SEC_0006_8K,SEC_0006,8K,SEC,ENTITY_UNIT_BINDING,True,114,False,True,False,True,False,False,False,valid_json,,strict,,247
SEC_0022_4K,SEC_0022,4K,SEC,UNANSWERABLE,False,28,False,True,False,True,False,False,False,valid_json,,strict,,92
CT_0003_8K,CT_0003,8K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,907
FRED_0011_64K,FRED_0011,64K,FRED,RETRIEVAL_CALCULATION,True,35,False,True,False,True,False,False,False,valid_json,,strict,,97
FDA_0004_64K,FDA_0004,64K,FDA,DIRECT_RETRIEVAL,True,46,False,True,False,True,False,False,False,valid_json,,strict,,123
CT_0025_8K,CT_0025,8K,CLINICAL_TRIALS,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,884
SEC_0022_8K,SEC_0022,8K,SEC,UNANSWERABLE,False,29,False,True,False,True,False,False,False,valid_json,,strict,,99
CT_0013_4K,CT_0013,4K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,41,False,True,False,True,False,False,False,valid_json,,strict,,107
FDA_0024_64K,FDA_0024,64K,FDA,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,810
FDA_0012_32K,FDA_0012,32K,FDA,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,883
SEC_0001_16K,SEC_0001,16K,SEC,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,910
CT_0019_8K,CT_0019,8K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,110,False,True,False,True,False,False,False,valid_json,,strict,,243
FDA_0013_16K,FDA_0013,16K,FDA,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,821
SEC_0004_32K,SEC_0004,32K,SEC,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,886
CT_0019_4K,CT_0019,4K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1016
FDA_0010_32K,FDA_0010,32K,FDA,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1003
FRED_0015_8K,FRED_0015,8K,FRED,RETRIEVAL_CALCULATION,True,34,False,True,False,True,False,False,False,valid_json,,strict,,94
SEC_0008_32K,SEC_0008,32K,SEC,ENTITY_UNIT_BINDING,True,33,False,True,False,True,False,False,False,valid_json,,strict,,93
CT_0001_16K,CT_0001,16K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,741
CT_0010_16K,CT_0010,16K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,747
SEC_0020_64K,SEC_0020,64K,SEC,TEMPORAL_VERSION,True,28,False,True,False,True,False,False,False,valid_json,,strict,,86
FRED_0013_8K,FRED_0013,8K,FRED,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1032
FRED_0002_64K,FRED_0002,64K,FRED,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,815
FRED_0008_8K,FRED_0008,8K,FRED,ENTITY_UNIT_BINDING,True,26,False,True,False,True,False,False,False,valid_json,,strict,,83
FDA_0016_4K,FDA_0016,4K,FDA,RETRIEVAL_CALCULATION,True,50,False,True,False,True,False,False,False,valid_json,,strict,,125
SEC_0009_16K,SEC_0009,16K,SEC,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,990
SEC_0021_4K,SEC_0021,4K,SEC,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,964
CT_0008_64K,CT_0008,64K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,813
CT_0006_64K,CT_0006,64K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,31,False,True,False,True,False,False,False,valid_json,,strict,,97
FDA_0020_64K,FDA_0020,64K,FDA,TEMPORAL_VERSION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,844
FDA_0016_64K,FDA_0016,64K,FDA,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,909
CT_0014_32K,CT_0014,32K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,948
FRED_0025_16K,FRED_0025,16K,FRED,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,815
CT_0017_32K,CT_0017,32K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1206
FDA_0016_32K,FDA_0016,32K,FDA,RETRIEVAL_CALCULATION,True,36,False,True,False,True,False,False,False,valid_json,,strict,,99
FRED_0013_32K,FRED_0013,32K,FRED,RETRIEVAL_CALCULATION,True,36,False,False,False,False,True,False,False,unknown_malformed_json,,none,no unambiguous complete response object with all required fields,97
FRED_0006_16K,FRED_0006,16K,FRED,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,913
FRED_0024_64K,FRED_0024,64K,FRED,UNANSWERABLE,False,29,False,True,False,True,False,False,False,valid_json,,strict,,99
FRED_0012_16K,FRED_0012,16K,FRED,RETRIEVAL_CALCULATION,True,36,False,True,False,True,False,False,False,valid_json,,strict,,97
SEC_0002_64K,SEC_0002,64K,SEC,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,815
FRED_0003_4K,FRED_0003,4K,FRED,DIRECT_RETRIEVAL,True,39,False,True,False,True,False,False,False,valid_json,,strict,,112
FDA_0019_32K,FDA_0019,32K,FDA,TEMPORAL_VERSION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,989
SEC_0020_4K,SEC_0020,4K,SEC,TEMPORAL_VERSION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,814
FDA_0025_64K,FDA_0025,64K,FDA,UNANSWERABLE,False,44,False,True,False,True,False,False,False,valid_json,,strict,,125
FDA_0015_16K,FDA_0015,16K,FDA,RETRIEVAL_CALCULATION,True,36,False,True,False,True,False,False,False,valid_json,,strict,,97
FDA_0007_4K,FDA_0007,4K,FDA,ENTITY_UNIT_BINDING,True,166,False,True,False,True,False,False,False,valid_json,,strict,,336
CT_0007_32K,CT_0007,32K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,780
FRED_0009_4K,FRED_0009,4K,FRED,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,821
SEC_0020_16K,SEC_0020,16K,SEC,TEMPORAL_VERSION,True,29,False,True,False,True,False,False,False,valid_json,,strict,,91
SEC_0003_8K,SEC_0003,8K,SEC,DIRECT_RETRIEVAL,True,53,False,True,False,True,False,False,False,valid_json,,strict,,135
SEC_0006_4K,SEC_0006,4K,SEC,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,913
FDA_0020_4K,FDA_0020,4K,FDA,TEMPORAL_VERSION,True,29,False,True,False,True,False,False,False,valid_json,,strict,,89
CT_0001_4K,CT_0001,4K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,821
FRED_0010_64K,FRED_0010,64K,FRED,RETRIEVAL_CALCULATION,True,41,False,True,False,True,False,False,False,valid_json,,strict,,97
CT_0013_64K,CT_0013,64K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,22,False,True,False,True,False,False,False,valid_json,,strict,,78
CT_0001_32K,CT_0001,32K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,811
FRED_0017_64K,FRED_0017,64K,FRED,TEMPORAL_VERSION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,910
FRED_0009_64K,FRED_0009,64K,FRED,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,813
FRED_0002_32K,FRED_0002,32K,FRED,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1009
SEC_0016_64K,SEC_0016,64K,SEC,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,842
FDA_0005_4K,FDA_0005,4K,FDA,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,892
SEC_0012_16K,SEC_0012,16K,SEC,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,810
SEC_0023_8K,SEC_0023,8K,SEC,UNANSWERABLE,False,512,True,False,False,False,True,True,False,partially_truncated_json,,none,no unambiguous complete response object with all required fields,852
CT_0019_16K,CT_0019,16K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,908
CT_0011_8K,CT_0011,8K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,821
FDA_0017_16K,FDA_0017,16K,FDA,RETRIEVAL_CALCULATION,True,34,False,True,False,True,False,False,False,valid_json,,strict,,101
SEC_0008_4K,SEC_0008,4K,SEC,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,863
FDA_0011_16K,FDA_0011,16K,FDA,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,860
CT_0012_8K,CT_0012,8K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,46,False,True,False,True,False,False,False,valid_json,,strict,,124
CT_0018_4K,CT_0018,4K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1177
SEC_0018_32K,SEC_0018,32K,SEC,TEMPORAL_VERSION,True,30,False,True,False,True,False,False,False,valid_json,,strict,,92
SEC_0011_32K,SEC_0011,32K,SEC,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,858
FRED_0022_8K,FRED_0022,8K,FRED,UNANSWERABLE,False,26,False,True,False,True,False,False,False,valid_json,,strict,,82
CT_0007_16K,CT_0007,16K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,757
FDA_0019_4K,FDA_0019,4K,FDA,TEMPORAL_VERSION,True,30,False,True,False,True,False,False,False,valid_json,,strict,,89
CT_0015_32K,CT_0015,32K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,823
FDA_0004_32K,FDA_0004,32K,FDA,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,813
FRED_0014_16K,FRED_0014,16K,FRED,RETRIEVAL_CALCULATION,True,38,False,True,False,True,False,False,False,valid_json,,strict,,95
SEC_0015_16K,SEC_0015,16K,SEC,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,966
FDA_0006_8K,FDA_0006,8K,FDA,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,969
CT_0009_8K,CT_0009,8K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,27,False,True,False,True,False,False,False,valid_json,,strict,,96
CT_0014_4K,CT_0014,4K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,910
FDA_0022_16K,FDA_0022,16K,FDA,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1009
FDA_0024_8K,FDA_0024,8K,FDA,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,912
SEC_0014_4K,SEC_0014,4K,SEC,RETRIEVAL_CALCULATION,True,62,False,True,False,True,False,False,False,valid_json,,strict,,158
FRED_0010_4K,FRED_0010,4K,FRED,RETRIEVAL_CALCULATION,True,47,False,True,False,True,False,False,False,valid_json,,strict,,114
FRED_0019_8K,FRED_0019,8K,FRED,TEMPORAL_VERSION,True,81,False,True,False,True,False,False,False,valid_json,,strict,,180
FRED_0023_32K,FRED_0023,32K,FRED,UNANSWERABLE,False,27,False,True,False,True,False,False,False,valid_json,,strict,,86
CT_0016_16K,CT_0016,16K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,31,False,True,False,True,False,False,False,valid_json,,strict,,93
CT_0014_16K,CT_0014,16K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,824
FDA_0017_4K,FDA_0017,4K,FDA,RETRIEVAL_CALCULATION,True,36,False,True,False,True,False,False,False,valid_json,,strict,,96
