question_type,context,n,correct_rate,inaccuracy_rate,hallucinatory_rate,grounded_rate
DIRECT_RETRIEVAL,4K,100,0.76,0.24,0.0,0.24
DIRECT_RETRIEVAL,8K,100,0.77,0.23,0.01,0.22
DIRECT_RETRIEVAL,16K,100,0.67,0.33,0.01,0.32
DIRECT_RETRIEVAL,32K,100,0.67,0.33,0.01,0.32
DIRECT_RETRIEVAL,64K,100,0.7,0.3,0.01,0.29
DIRECT_RETRIEVAL,82K,100,0.63,0.37,0.01,0.36
ENTITY_UNIT_BINDING,4K,95,0.7473684210526316,0.25263157894736843,0.042105263157894736,0.21052631578947367
ENTITY_UNIT_BINDING,8K,95,0.6736842105263158,0.3263157894736842,0.05263157894736842,0.2736842105263158
ENTITY_UNIT_BINDING,16K,95,0.6631578947368421,0.3368421052631579,0.05263157894736842,0.28421052631578947
ENTITY_UNIT_BINDING,32K,95,0.6526315789473685,0.3473684210526316,0.031578947368421054,0.3157894736842105
ENTITY_UNIT_BINDING,64K,95,0.5052631578947369,0.49473684210526314,0.010526315789473684,0.4842105263157895
ENTITY_UNIT_BINDING,82K,95,0.49473684210526314,0.5052631578947369,0.021052631578947368,0.4842105263157895
RETRIEVAL_CALCULATION,4K,150,0.06,0.94,0.78,0.16
RETRIEVAL_CALCULATION,8K,150,0.02666666666666667,0.9733333333333334,0.8533333333333334,0.12
RETRIEVAL_CALCULATION,16K,150,0.08,0.92,0.6933333333333334,0.22666666666666666
RETRIEVAL_CALCULATION,32K,150,0.10666666666666667,0.8933333333333333,0.7066666666666667,0.18666666666666668
RETRIEVAL_CALCULATION,64K,150,0.08,0.92,0.6933333333333334,0.22666666666666666
RETRIEVAL_CALCULATION,82K,148,0.10135135135135136,0.8986486486486487,0.6486486486486487,0.25
TEMPORAL_VERSION,4K,55,0.8181818181818182,0.18181818181818182,0.01818181818181818,0.16363636363636364
TEMPORAL_VERSION,8K,55,0.6181818181818182,0.38181818181818183,0.01818181818181818,0.36363636363636365
TEMPORAL_VERSION,16K,55,0.4727272727272727,0.5272727272727272,0.03636363636363636,0.4909090909090909
TEMPORAL_VERSION,32K,55,0.43636363636363634,0.5636363636363636,0.07272727272727272,0.4909090909090909
TEMPORAL_VERSION,64K,55,0.38181818181818183,0.6181818181818182,0.07272727272727272,0.5454545454545454
TEMPORAL_VERSION,82K,55,0.32727272727272727,0.6727272727272727,0.09090909090909091,0.5818181818181818
UNANSWERABLE,4K,100,0.51,0.49,0.49,0.0
UNANSWERABLE,8K,100,0.49,0.51,0.51,0.0
UNANSWERABLE,16K,100,0.38,0.62,0.62,0.0
UNANSWERABLE,32K,100,0.23,0.77,0.77,0.0
UNANSWERABLE,64K,100,0.01,0.99,0.99,0.0
UNANSWERABLE,82K,100,0.03,0.97,0.97,0.0
