question_family_id,domain,question_type,answerable,success_every_length,fail_every_length,short_success_long_failure,first_format_failure_context,format_failure_contexts,usable_contexts
CT_0001,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,False,True,False,4K,4K;8K;16K;32K;64K,
CT_0002,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,False,False,False,4K,4K;8K;16K;32K,64K
CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,False,False,True,8K,8K;16K;32K;64K,4K
CT_0004,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,False,False,True,8K,8K;16K;32K,4K;64K
CT_0005,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,False,True,False,4K,4K;8K;16K;32K;64K,
CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,False,False,True,8K,8K;16K,4K;32K;64K
CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,False,False,True,16K,16K;32K,4K;8K;64K
CT_0008,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,False,False,True,16K,16K;32K;64K,4K;8K
CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,True,False,False,,,4K;8K;16K;32K;64K
CT_0010,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,False,False,True,8K,8K;16K,4K;32K;64K
CT_0011,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,False,False,True,8K,8K,4K;16K;32K;64K
CT_0012,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,False,False,False,4K,4K,8K;16K;32K;64K
CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,False,False,True,8K,8K,4K;16K;32K;64K
CT_0014,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,False,False,False,4K,4K;8K;16K;32K,64K
CT_0015,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,False,False,True,8K,8K;32K;64K,4K;16K
CT_0016,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,True,False,False,,,4K;8K;16K;32K;64K
CT_0017,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,False,False,False,4K,4K;16K;32K;64K,8K
CT_0018,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,False,True,False,4K,4K;8K;16K;32K;64K,
CT_0019,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,False,False,False,4K,4K;16K;32K;64K,8K
CT_0020,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,False,True,False,4K,4K;8K;16K;32K;64K,
CT_0021,CLINICAL_TRIALS,UNANSWERABLE,False,False,False,True,8K,8K;16K;32K;64K,4K
CT_0022,CLINICAL_TRIALS,UNANSWERABLE,False,False,False,True,8K,8K;16K,4K;32K;64K
CT_0023,CLINICAL_TRIALS,UNANSWERABLE,False,False,False,True,16K,16K;32K,4K;8K;64K
CT_0024,CLINICAL_TRIALS,UNANSWERABLE,False,False,False,True,8K,8K;16K;32K,4K;64K
CT_0025,CLINICAL_TRIALS,UNANSWERABLE,False,False,False,True,8K,8K;16K;32K;64K,4K
FDA_0001,FDA,DIRECT_RETRIEVAL,True,False,True,False,4K,4K;8K;16K;32K;64K,
FDA_0002,FDA,DIRECT_RETRIEVAL,True,False,False,False,4K,4K;8K;16K;64K,32K
FDA_0003,FDA,DIRECT_RETRIEVAL,True,False,False,True,8K,8K;16K;32K,4K;64K
FDA_0004,FDA,DIRECT_RETRIEVAL,True,False,False,True,8K,8K;32K,4K;16K;64K
FDA_0005,FDA,DIRECT_RETRIEVAL,True,False,True,False,4K,4K;8K;16K;32K;64K,
FDA_0006,FDA,ENTITY_UNIT_BINDING,True,False,False,True,8K,8K;16K;32K;64K,4K
FDA_0007,FDA,ENTITY_UNIT_BINDING,True,False,False,True,8K,8K;16K;32K;64K,4K
FDA_0008,FDA,ENTITY_UNIT_BINDING,True,False,False,True,8K,8K;16K;32K;64K,4K
FDA_0009,FDA,ENTITY_UNIT_BINDING,True,False,True,False,4K,4K;8K;16K;32K;64K,
FDA_0010,FDA,RETRIEVAL_CALCULATION,True,False,True,False,4K,4K;8K;16K;32K;64K,
FDA_0011,FDA,RETRIEVAL_CALCULATION,True,False,True,False,4K,4K;8K;16K;32K;64K,
FDA_0012,FDA,RETRIEVAL_CALCULATION,True,False,False,True,8K,8K;16K;32K;64K,4K
FDA_0013,FDA,RETRIEVAL_CALCULATION,True,False,False,False,4K,4K;16K;32K;64K,8K
FDA_0014,FDA,RETRIEVAL_CALCULATION,True,False,False,True,64K,64K,4K;8K;16K;32K
FDA_0015,FDA,RETRIEVAL_CALCULATION,True,False,False,True,64K,64K,4K;8K;16K;32K
FDA_0016,FDA,RETRIEVAL_CALCULATION,True,False,False,True,8K,8K;64K,4K;16K;32K
FDA_0017,FDA,RETRIEVAL_CALCULATION,True,False,False,True,8K,8K;32K;64K,4K;16K
FDA_0018,FDA,TEMPORAL_VERSION,True,False,False,True,8K,8K;32K,4K;16K;64K
FDA_0019,FDA,TEMPORAL_VERSION,True,False,False,True,16K,16K;32K;64K,4K;8K
FDA_0020,FDA,TEMPORAL_VERSION,True,False,False,True,64K,64K,4K;8K;16K;32K
FDA_0021,FDA,UNANSWERABLE,False,False,True,False,4K,4K;8K;16K;32K;64K,
FDA_0022,FDA,UNANSWERABLE,False,False,False,True,8K,8K;16K;32K,4K;64K
FDA_0023,FDA,UNANSWERABLE,False,False,False,True,32K,32K;64K,4K;8K;16K
FDA_0024,FDA,UNANSWERABLE,False,False,False,True,8K,8K;16K;32K;64K,4K
FDA_0025,FDA,UNANSWERABLE,False,False,False,True,16K,16K;32K,4K;8K;64K
FRED_0001,FRED,DIRECT_RETRIEVAL,True,False,True,False,4K,4K;8K;16K;32K;64K,
FRED_0002,FRED,DIRECT_RETRIEVAL,True,False,False,True,8K,8K;16K;32K;64K,4K
FRED_0003,FRED,DIRECT_RETRIEVAL,True,False,False,True,16K,16K;32K,4K;8K;64K
FRED_0004,FRED,DIRECT_RETRIEVAL,True,False,False,True,8K,8K;16K;32K;64K,4K
FRED_0005,FRED,DIRECT_RETRIEVAL,True,False,False,False,4K,4K;8K;16K;64K,32K
FRED_0006,FRED,ENTITY_UNIT_BINDING,True,False,True,False,4K,4K;8K;16K;32K;64K,
FRED_0007,FRED,ENTITY_UNIT_BINDING,True,False,False,True,16K,16K;32K;64K,4K;8K
FRED_0008,FRED,ENTITY_UNIT_BINDING,True,True,False,False,,,4K;8K;16K;32K;64K
FRED_0009,FRED,ENTITY_UNIT_BINDING,True,False,True,False,4K,4K;8K;16K;32K;64K,
