instance_id,question_family_id,domain,question_type,context_length_label,answerable,gold_answer,raw_output_text,parsed_answer,normalized_gold_answer,normalized_model_answer,answer_correct,abstention_correct,hallucination,error_type,matched_context_value,matched_distractor_type,grading_rule_used,needs_semantic_review,review_reason,input_tokens,generation_latency_seconds,generated_tokens_count
CT_0024_4K,CT_0024,CLINICAL_TRIALS,UNANSWERABLE,4K,False,,ANSWER: 2025-07-17,2025-07-17,INSUFFICIENT_EVIDENCE,2025-07-17,False,False,True,FAILED_TO_ABSTAIN,2025-07-17,WRONG_FIELD,unanswerable_instance_factual_answer,False,,4227,0.3435775563120842,11
CT_0024_64K,CT_0024,CLINICAL_TRIALS,UNANSWERABLE,64K,False,,ANSWER: 2025-07-17,2025-07-17,INSUFFICIENT_EVIDENCE,2025-07-17,False,False,True,FAILED_TO_ABSTAIN,2025-07-17,WRONG_FIELD,unanswerable_instance_factual_answer,False,,65175,7.936185580678284,11
CT_0021_8K,CT_0021,CLINICAL_TRIALS,UNANSWERABLE,8K,False,,ANSWER: 2015-01-15,2015-01-15,INSUFFICIENT_EVIDENCE,2015-01-15,False,False,True,FAILED_TO_ABSTAIN,2015-01-15,WRONG_FIELD,unanswerable_instance_factual_answer,False,,8327,0.633273346349597,11
CT_0021_64K,CT_0021,CLINICAL_TRIALS,UNANSWERABLE,64K,False,,ANSWER: 2018-10-31,2018-10-31,INSUFFICIENT_EVIDENCE,2018-10-31,False,False,True,FAILED_TO_ABSTAIN,2018-10-31,WRONG_FIELD,unanswerable_instance_factual_answer,False,,65153,7.908279428258538,11
CT_0007_4K,CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,True,PLACEBO_COMPARATOR,ANSWER: PLACEBO_COMPARATOR,PLACEBO_COMPARATOR,placebo_comparator,placebo_comparator,True,True,False,CORRECT,PLACEBO_COMPARATOR,,answer_only_exact_match,False,,4282,0.3268813630566001,9
CT_0007_64K,CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,64K,True,PLACEBO_COMPARATOR,ANSWER: PLACEBO_COMPARATOR,PLACEBO_COMPARATOR,placebo_comparator,placebo_comparator,True,True,False,CORRECT,PLACEBO_COMPARATOR,WRONG_ENTITY,answer_only_exact_match,False,,65228,7.8777953907847404,9
SEC_0006_4K,SEC_0006,SEC,ENTITY_UNIT_BINDING,4K,True,"-492,000,000",ANSWER: -492000000.0,-492000000.0,-492000000.0,-492000000.0,True,True,False,CORRECT,-492000000.0,NEAR_MATCH_VALUE,answer_only_exact_match,False,,4310,0.33882173988968134,10
SEC_0006_64K,SEC_0006,SEC,ENTITY_UNIT_BINDING,64K,True,"-492,000,000",ANSWER: -492000000.0,-492000000.0,-492000000.0,-492000000.0,True,True,False,CORRECT,-492000000.0,WRONG_PERIOD,answer_only_exact_match,False,,65276,7.89360427018255,10
FDA_0003_4K,FDA_0003,FDA,DIRECT_RETRIEVAL,4K,True,TABLET,ANSWER: TABLET,TABLET,tablet,tablet,True,True,False,CORRECT,TABLET,WRONG_ENTITY,answer_only_exact_match,False,,4257,0.2875558938831091,6
FDA_0003_64K,FDA_0003,FDA,DIRECT_RETRIEVAL,64K,True,TABLET,ANSWER: TABLET,TABLET,tablet,tablet,True,True,False,CORRECT,TABLET,WRONG_ENTITY,answer_only_exact_match,False,,65032,7.697974666021764,6
FRED_0007_4K,FRED_0007,FRED,ENTITY_UNIT_BINDING,4K,True,3.260,ANSWER: 3.26,3.26,3.26,3.26,True,True,False,CORRECT,3.26,,answer_only_exact_match,False,,4242,0.31128381565213203,8
FRED_0007_64K,FRED_0007,FRED,ENTITY_UNIT_BINDING,64K,True,3.260,ANSWER: 3.77,3.77,3.26,3.77,False,True,False,WRONG_PERIOD,3.77,WRONG_PERIOD,answer_matches_context_distractor_value,False,,64953,7.774773464538157,8
SEC_0009_32K,SEC_0009,SEC,RETRIEVAL_CALCULATION,32K,True,5.93%,ANSWER: 0.07,0.07,5.93,0.07,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,32786,2.871761084534228,8
SEC_0009_64K,SEC_0009,SEC,RETRIEVAL_CALCULATION,64K,True,5.93%,ANSWER: 0.00,0.00,5.93,0.0,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,65320,7.834808072075248,8
CT_0010_16K,CT_0010,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,16K,True,80,ANSWER: -124,-124,80,-124,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,16446,1.1762178391218185,6
FDA_0010_32K,FDA_0010,FDA,RETRIEVAL_CALCULATION,32K,True,2,ANSWER: 2,2,2,2,True,True,False,CORRECT,,,answer_only_exact_match,False,,32588,2.77628309186548,6
FRED_0010_64K,FRED_0010,FRED,RETRIEVAL_CALCULATION,64K,True,0.21%,ANSWER: 0.05,0.05,0.21,0.05,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,64999,7.794638552702963,8
FRED_0013_4K,FRED_0013,FRED,RETRIEVAL_CALCULATION,4K,True,1.38,ANSWER: 1.45,1.45,1.38,1.45,False,True,False,CALCULATION_ERROR,1.45,,calculation_answer_matches_context_operand_or_value,False,,4276,0.31471277959644794,8
CT_0013_32K,CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,32K,True,715,ANSWER: 109,109,715,109,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,32743,2.7838827976956964,6
CT_0003_4K,CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,4K,True,226,ANSWER: 226,226,226,226,True,True,False,CORRECT,226.0,,answer_only_exact_match,False,,4229,0.2962809056043625,6
SEC_0002_8K,SEC_0002,SEC,DIRECT_RETRIEVAL,8K,True,"63,937,000,000",ANSWER: 63937000000,63937000000,63937000000.0,63937000000.0,True,True,False,CORRECT,63937000000.0,,answer_only_exact_match,False,,8310,0.6075176047161222,9
