model,model_label,instance_id,question_family_id,context_length_label,domain,question_type,answer_correct,accurate,inaccurate,input_tokens,context_log2
llama32_3b,Llama-3.2-3B-Instruct,FRED_0037_16K,FRED_0037,16K,FRED,DIRECT_RETRIEVAL,True,1,0,16465,14.00711489148271
llama32_3b,Llama-3.2-3B-Instruct,CT_0099_32K,CT_0099,32K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,1,0,32762,14.999735810460262
llama32_3b,Llama-3.2-3B-Instruct,FRED_0056_64K,FRED_0056,64K,FRED,RETRIEVAL_CALCULATION,False,0,1,64996,15.988063313725414
llama32_3b,Llama-3.2-3B-Instruct,SEC_0043_8K,SEC_0043,8K,SEC,DIRECT_RETRIEVAL,True,1,0,8381,13.032906677628251
llama32_3b,Llama-3.2-3B-Instruct,FDA_0007_8K,FDA_0007,8K,FDA,ENTITY_UNIT_BINDING,False,0,1,8280,13.015415052386688
llama32_3b,Llama-3.2-3B-Instruct,SEC_0073_32K,SEC_0073,32K,SEC,RETRIEVAL_CALCULATION,False,0,1,32743,14.998898890941275
llama32_3b,Llama-3.2-3B-Instruct,FDA_0010_64K,FDA_0010,64K,FDA,RETRIEVAL_CALCULATION,True,1,0,65011,15.988396225425697
llama32_3b,Llama-3.2-3B-Instruct,FRED_0033_16K,FRED_0033,16K,FRED,DIRECT_RETRIEVAL,False,0,1,16436,14.004571615167656
llama32_3b,Llama-3.2-3B-Instruct,SEC_0090_32K,SEC_0090,32K,SEC,TEMPORAL_VERSION,False,0,1,32733,14.99845821189793
llama32_3b,Llama-3.2-3B-Instruct,FRED_0017_8K,FRED_0017,8K,FRED,TEMPORAL_VERSION,True,1,0,8281,13.015589280397393
llama32_3b,Llama-3.2-3B-Instruct,SEC_0094_4K,SEC_0094,4K,SEC,ENTITY_UNIT_BINDING,True,1,0,4230,12.046441948007311
llama32_3b,Llama-3.2-3B-Instruct,FDA_0071_8K,FDA_0071,8K,FDA,RETRIEVAL_CALCULATION,False,0,1,8352,13.027905996569885
llama32_3b,Llama-3.2-3B-Instruct,SEC_0111_4K,SEC_0111,4K,SEC,UNANSWERABLE,True,1,0,4284,12.064742764750257
llama32_3b,Llama-3.2-3B-Instruct,CT_0062_32K,CT_0062,32K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,32797,15.001276234543251
