question_family_id,outcome,sequence,transition_category,first_true_context
CT_0001,hallucination_int,00000,never_true,
CT_0002,hallucination_int,00000,never_true,
CT_0003,hallucination_int,00000,never_true,
CT_0004,hallucination_int,00000,never_true,
CT_0005,hallucination_int,00000,never_true,
CT_0006,hallucination_int,00000,never_true,
CT_0007,hallucination_int,00000,never_true,
CT_0008,hallucination_int,00000,never_true,
CT_0009,hallucination_int,00000,never_true,
CT_0010,hallucination_int,00110,non_monotonic,16K
CT_0011,hallucination_int,11011,true_at_shorter_recovered_later,4K
CT_0012,hallucination_int,11101,true_at_shorter_recovered_later,4K
CT_0013,hallucination_int,11111,true_all_contexts,4K
CT_0014,hallucination_int,11111,true_all_contexts,4K
CT_0015,hallucination_int,11111,true_all_contexts,4K
CT_0016,hallucination_int,11001,true_at_shorter_recovered_later,4K
CT_0017,hallucination_int,00000,never_true,
CT_0018,hallucination_int,00000,never_true,
CT_0019,hallucination_int,00000,never_true,
CT_0020,hallucination_int,00000,never_true,
CT_0021,hallucination_int,11111,true_all_contexts,4K
CT_0022,hallucination_int,11111,true_all_contexts,4K
CT_0023,hallucination_int,11111,true_all_contexts,4K
CT_0024,hallucination_int,11111,true_all_contexts,4K
CT_0025,hallucination_int,11111,true_all_contexts,4K
FDA_0001,hallucination_int,00000,never_true,
FDA_0002,hallucination_int,00000,never_true,
FDA_0003,hallucination_int,00000,never_true,
FDA_0004,hallucination_int,00000,never_true,
FDA_0005,hallucination_int,00000,never_true,
FDA_0006,hallucination_int,00000,never_true,
FDA_0007,hallucination_int,00000,never_true,
FDA_0008,hallucination_int,00000,never_true,
FDA_0009,hallucination_int,11100,true_at_shorter_recovered_later,4K
FDA_0010,hallucination_int,11000,true_at_shorter_recovered_later,4K
FDA_0011,hallucination_int,00001,first_true_at_64K,64K
FDA_0012,hallucination_int,11111,true_all_contexts,4K
FDA_0013,hallucination_int,11100,true_at_shorter_recovered_later,4K
FDA_0014,hallucination_int,01111,first_true_at_8K,8K
FDA_0015,hallucination_int,11111,true_all_contexts,4K
FDA_0016,hallucination_int,11111,true_all_contexts,4K
FDA_0017,hallucination_int,11111,true_all_contexts,4K
FDA_0018,hallucination_int,00000,never_true,
FDA_0019,hallucination_int,00010,non_monotonic,32K
FDA_0020,hallucination_int,00000,never_true,
FDA_0021,hallucination_int,11111,true_all_contexts,4K
FDA_0022,hallucination_int,11111,true_all_contexts,4K
FDA_0023,hallucination_int,11111,true_all_contexts,4K
FDA_0024,hallucination_int,11111,true_all_contexts,4K
FDA_0025,hallucination_int,11111,true_all_contexts,4K
FRED_0001,hallucination_int,00000,never_true,
FRED_0002,hallucination_int,00000,never_true,
FRED_0003,hallucination_int,00000,never_true,
FRED_0004,hallucination_int,00000,never_true,
FRED_0005,hallucination_int,00000,never_true,
FRED_0006,hallucination_int,00000,never_true,
FRED_0007,hallucination_int,00000,never_true,
FRED_0008,hallucination_int,00000,never_true,
FRED_0009,hallucination_int,00000,never_true,
FRED_0010,hallucination_int,11111,true_all_contexts,4K
FRED_0011,hallucination_int,11111,true_all_contexts,4K
FRED_0012,hallucination_int,11110,true_at_shorter_recovered_later,4K
FRED_0013,hallucination_int,01000,non_monotonic,8K
FRED_0014,hallucination_int,10001,true_at_shorter_recovered_later,4K
FRED_0015,hallucination_int,01110,non_monotonic,8K
FRED_0016,hallucination_int,11110,true_at_shorter_recovered_later,4K
FRED_0017,hallucination_int,00000,never_true,
FRED_0018,hallucination_int,00000,never_true,
FRED_0019,hallucination_int,00000,never_true,
FRED_0020,hallucination_int,00000,never_true,
FRED_0021,hallucination_int,00011,first_true_at_32K,32K
FRED_0022,hallucination_int,00001,first_true_at_64K,64K
FRED_0023,hallucination_int,00011,first_true_at_32K,32K
FRED_0024,hallucination_int,00000,never_true,
FRED_0025,hallucination_int,00001,first_true_at_64K,64K
SEC_0001,hallucination_int,00000,never_true,
SEC_0002,hallucination_int,00000,never_true,
SEC_0003,hallucination_int,00000,never_true,
SEC_0004,hallucination_int,00000,never_true,
