instance_id,question_family_id,domain,question_type,context_length_label,answerable,gold_answer,raw_output_text,parsed_answer,normalized_gold_answer,normalized_model_answer,answer_correct,abstention_correct,hallucination,error_type,matched_context_value,matched_distractor_type,grading_rule_used,needs_semantic_review,review_reason,input_tokens,generated_tokens_count,generation_latency_seconds
FDA_0003_64K,FDA_0003,FDA,DIRECT_RETRIEVAL,64K,True,TABLET,ANSWER: TABLET,TABLET,tablet,tablet,True,True,False,CORRECT,TABLET,WRONG_ENTITY,answer_only_exact_match,False,,65032,6,7.697974666021764
CT_0003_4K,CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,4K,True,226,ANSWER: 226,226,226,226,True,True,False,CORRECT,226.0,,answer_only_exact_match,False,,4229,6,0.2962809056043625
FDA_0008_4K,FDA_0008,FDA,ENTITY_UNIT_BINDING,4K,True,100MG,ANSWER: 100MG,100MG,100mg,100mg,True,True,False,CORRECT,100MG,,answer_only_exact_match,False,,4255,7,0.30784551333636045
SEC_0009_32K,SEC_0009,SEC,RETRIEVAL_CALCULATION,32K,True,5.93%,ANSWER: 0.07,0.07,5.93,0.07,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,32786,8,2.871761084534228
SEC_0017_64K,SEC_0017,SEC,TEMPORAL_VERSION,64K,True,"-16,276,000,000",ANSWER: -16276000000.0,-16276000000.0,-16276000000.0,-16276000000.0,True,True,False,CORRECT,-16276000000.0,,answer_only_exact_match,False,,65280,11,7.945267615839839
CT_0006_32K,CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,True,ACTIVE_COMPARATOR,ANSWER: PLACEBO_COMPARATOR,PLACEBO_COMPARATOR,active_comparator,placebo_comparator,False,True,False,WRONG_ENTITY,PLACEBO_COMPARATOR,WRONG_ENTITY,answer_matches_context_distractor_value,False,,32715,9,2.862345497123897
CT_0024_4K,CT_0024,CLINICAL_TRIALS,UNANSWERABLE,4K,False,,ANSWER: 2025-07-17,2025-07-17,INSUFFICIENT_EVIDENCE,2025-07-17,False,False,True,FAILED_TO_ABSTAIN,2025-07-17,WRONG_FIELD,unanswerable_instance_factual_answer,False,,4227,11,0.3435775563120842
FRED_0008_32K,FRED_0008,FRED,ENTITY_UNIT_BINDING,32K,True,1.770,ANSWER: 1.77,1.77,1.77,1.77,True,True,False,CORRECT,1.77,,answer_only_exact_match,False,,32592,8,2.8195813689380884
SEC_0002_8K,SEC_0002,SEC,DIRECT_RETRIEVAL,8K,True,"63,937,000,000",ANSWER: 63937000000,63937000000,63937000000.0,63937000000.0,True,True,False,CORRECT,63937000000.0,,answer_only_exact_match,False,,8310,9,0.6075176047161222
FRED_0013_4K,FRED_0013,FRED,RETRIEVAL_CALCULATION,4K,True,1.38,ANSWER: 1.45,1.45,1.38,1.45,False,True,False,CALCULATION_ERROR,1.45,,calculation_answer_matches_context_operand_or_value,False,,4276,8,0.31471277959644794
